coordinatedMailingId,customerPersonId,isPrimary,firstName,lastName,fullName,addressLine1,city,state,zip,country,organizationNameForMailing,asset1,asset2,dropDate,pdfName,phoneNumber,planType
14501776,14501776,True,FirstName268,LastName268,FirstName268 LastName268,268 address,SPARKS,NV,89435,USA,Nevada Public Employees' Benefits Program,U1C-EG-DV-2021,U1C-EG-CL-2021,"December 03, 2021",14501776_13103006_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
14645397,14645397,True,FirstName347,LastName347,FirstName347 LastName347,347 address,Ship Bottom ,NJ,8008,USA,Syngenta,U1C-EG-DV-2021,U1C-EG-CL-2021,"December 03, 2021",14645397_13103301_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
14645493,14645493,True,FirstName346,LastName346,FirstName346 LastName346,346 address,Waynesville ,NC,28785,USA,Syngenta,U1C-EG-DV-2021,U1C-EG-CL-2021,"December 03, 2021",14645493_13103301_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
14645843,14645843,True,FirstName348,LastName348,FirstName348 LastName348,348 address,GREENSBORO,NC,27406,USA,Syngenta,U1C-EG-DV-2021,U1C-EG-CL-2021,"December 03, 2021",14645843_13103301_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
14645843,14646038,False,FirstName345,LastName348,FirstName345 LastName348,348 address,GREENSBORO,NC,27406,USA,Syngenta,U1C-EG-DV-2021,U1C-EG-CL-2021,"December 03, 2021",14646038_13103301_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
14646161,14646161,True,FirstName349,LastName349,FirstName349 LastName349,349 address,MONTICELLO,IL,61856,USA,Syngenta,U1C-EG-DV-2021,U1C-EG-CL-2021,"December 03, 2021",14646161_13103301_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
15541839,15541839,True,FirstName208,LastName208,FirstName208 LastName208,208 address,MANKATO,MN,56001,USA,"Land O'Lakes, Inc.",U1C-EG-DV-2021,U1C-EG-CL-2021,"December 03, 2021",15541839_13103369_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
15585816,15585816,True,FirstName253,LastName253,FirstName253 LastName253,253 address,KILLEEN,TX,76542,USA,NRECA Retiree Insurance Solutions,U1C-EG-DV-2021,U1C-EG-CL-2021,"December 03, 2021",15585816_13103509_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
15761354,15761354,True,FirstName178,LastName178,FirstName178 LastName178,178 address,WESTERVILLE,OH,43081,USA,JPMorgan Chase,U1C-EG-DV-2021,U1C-EG-CL-2021,"December 03, 2021",15761354_13103548_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
15775957,15775957,True,FirstName179,LastName179,FirstName179 LastName179,179 address,GREEN BROOK,NJ,8812,USA,JPMorgan Chase,U1C-EG-DV-2021,U1C-EG-CL-2021,"December 03, 2021",15775957_13103548_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
15988969,15988969,True,FirstName257,LastName257,FirstName257 LastName257,257 address,LAS VEGAS,NV,89138,USA,NV Energy,U1C-EG-DV-2021,U1C-EG-CL-2021,"December 03, 2021",15988969_13103560_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
16462728,16462728,True,FirstName116,LastName116,FirstName116 LastName116,116 address,CHESAPEAKE,VA,23322,USA,Disney,U1C-EG-DV-2021,U1C-EG-CL-2021,"December 03, 2021",16462728_13104315_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
16462728,16765912,False,FirstName238,LastName116,FirstName238 LastName116,116 address,CHESAPEAKE,VA,23322,USA,Lockheed Martin,U1C-EG-DV-2021,U1C-EG-CL-2021,"December 03, 2021",16765912_13103615_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
16848426,16848426,True,FirstName130,LastName130,FirstName130 LastName130,130 address,COLUMBIA,SC,29212,USA,Dominion Energy (formerly SCANA Corporation),U1C-EG-NODV-2021,U1C-EG-CL-2021,"December 03, 2021",16848426_13103891_U1C-EG-NODV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
16974448,16974448,True,FirstName68,LastName68,FirstName68 LastName68,68 address,FOWLERVILLE,MI,48836,USA,BCBSM,U1C-EG-DV-2021,U1C-EG-CL-2021,"December 03, 2021",16974448_13103843_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
17104192,17104192,True,FirstName129,LastName129,FirstName129 LastName129,129 address,EASTOVER,SC,29044,USA,Dominion Energy (formerly SCANA Corporation),U1C-EG-NODV-2021,U1C-EG-CL-2021,"December 03, 2021",17104192_13103891_U1C-EG-NODV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
17124944,17124944,True,FirstName73,LastName73,FirstName73 LastName73,73 address,GARDEN CITY,MO,64747,USA,Bayer,U1C-EG-DV-2021,U1C-EG-CL-BAYER-2021,"December 03, 2021",17124944_13103195_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
17238102,17238102,True,FirstName144,LastName144,FirstName144 LastName144,144 address,COVENTRY,RI,2816,USA,General Dynamics,U1C-EG-DV-2021,691593-110620-GD-ENROLLU1C-EG-CL_4-2021,"December 03, 2021",17238102_13103454_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
17277179,17277179,True,FirstName71,LastName71,FirstName71 LastName71,71 address,BUFFALO GROVE,IL,60089,USA,Ball Corporation,U1C-EG-DV-2021,U1C-EG-CL-2021,"December 03, 2021",17277179_13103948_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
17277179,17277179,False,FirstName72,LastName72,FirstName72 LastName72,72 address,BUFFALO GROVE,IL,60089,USA,Ball Corporation,U1C-EG-DV-2022,U1C-EG-CL-2021,"December 03, 2021",17277180_13103948_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
17284835,17284835,False,FirstName146,LastName146,FirstName146 LastName146,146 address,WATERFORD,CT,6385,USA,General Dynamics,U1C-EG-DV-2021,691593-110620-GD-ENROLLU1C-EG-CL_4-2021,"December 03, 2021",19310237_13103454_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
17417135,17417135,True,FirstName367,LastName367,FirstName367 LastName367,367 address,Stoughton,MA,2072,USA,Tufts University,U1C-EG-NODV-2021,U1C-EG-CL-2021,"December 03, 2021",17417135_13103977_U1C-EG-NODV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, and Part D prescription drug"
17440856,17440856,False,FirstName361,LastName361,FirstName361 LastName361,361 address,SHERMAN,TX,75092,USA,Texas Instruments,U1C-EG-DV-2021,U1C-EG-CL-2021,"December 03, 2021",17440856_13103689_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
17517975,17517975,True,FirstName278,LastName278,FirstName278 LastName278,278 address,JACKSONVILLE,FL,32258,USA,Northrop Grumman Corporation,U1C-EG-DV-2021,U1C-EG-CL-2021,"December 03, 2021",17517975_13103476_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
17518633,17518633,True,FirstName273,LastName273,FirstName273 LastName273,273 address,HASTINGS,FL,32145,USA,Northrop Grumman Corporation,U1C-EG-DV-2021,U1C-EG-CL-2021,"December 03, 2021",17518633_13103476_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
17518633,17519735,False,FirstName239,LastName273,FirstName239 LastName273,239 address,FORT WORTH,TX,76132,USA,Lockheed Martin,U1C-EG-DV-2021,U1C-EG-CL-2021,"December 03, 2021",17519735_13103615_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
17520393,17520393,True,FirstName272,LastName272,FirstName272 LastName272,272 address,CHEEKTOWAGA,NY,14225,USA,Northrop Grumman Corporation,U1C-EG-DV-2021,U1C-EG-CL-2021,"December 03, 2021",17520393_13103476_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
17521413,17521413,False,FirstName279,LastName272,FirstName279 LastName272,272 address,CHEEKTOWAGA,NY,14225,USA,Northrop Grumman Corporation,U1C-EG-DV-2021,U1C-EG-CL-2021,"December 03, 2021",17521413_13103476_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
17546971,17546971,True,FirstName131,LastName131,FirstName131 LastName131,131 address,WILMINGTON,NC,28409,USA,Duke Energy,U1C-EG-NODV-2021,U1C-EG-CL-2021,"December 03, 2021",17546971_13103983_U1C-EG-NODV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
17626210,17626210,True,FirstName77,LastName77,FirstName77 LastName77,77 address,Edwardsburg,MI,49112,USA,Bayer,U1C-EG-DV-2021,U1C-EG-CL-BAYER-2021,"December 03, 2021",17626210_13103195_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
17651970,17651970,True,FirstName63,LastName63,FirstName63 LastName63,63 address,ELKTON,MD,21921,USA,AstraZeneca,U1C-EG-DV-2021,U1C-EG-CL-2021,"December 03, 2021",17651970_13104559_U1C-EG-DV-2021.pdf,1-844-596-0460,"Medicare Advantage, Medigap, Part D prescription drug, dental, and vision"
